birth_country,fixed_birth_country,continent
Netherlands,Netherlands,Europe
France,France,Europe
Prussia (Poland),Poland,Europe
Switzerland,Switzerland,Europe
Prussia (Germany),Germany,Europe
Schleswig (Germany),Germany,Europe
India,India,Asia
Sweden,Sweden,Europe
Norway,Norway,Europe
Faroe Islands (Denmark),Denmark,Europe
United Kingdom,United Kingdom,Europe
Russian Empire (Poland),Poland,Europe
Scotland,Scotland,Europe
Spain,Spain,Europe
Russia,Russia,Asia
nan,nan,nan
Poland,Poland,Europe
Germany,Germany,Europe
Austrian Empire (Czech Republic),Czech Republic,Europe
Hungary (Slovakia),Slovakia,Europe
Tuscany (Italy),Italy,Europe
Italy,Italy,Europe
United States of America,USA,North America
Bavaria (Germany),Germany,Europe
British India (India),India,Asia
Austrian Empire (Italy),Italy,Europe
New Zealand,New Zealand,Australia and Oceania
East Friesland (Germany),Germany,Europe
Russian Empire (Ukraine),Ukraine,Europe
Denmark,Denmark,Europe
Luxembourg,Luxembourg,Europe
Russian Empire (Latvia),Latvia,Europe
Belgium,Belgium,Europe
Hesse-Kassel (Germany),Germany,Europe
Germany (Russia),Russia,Asia
Mecklenburg (Germany),Germany,Europe
Austria,Austria,Europe
Prussia (Russia),Russia,Asia
Australia,Australia,Australia and Oceania
Austria-Hungary (Slovenia),Slovenia,Europe
Ireland,Ireland,Europe
Canada,Canada,North America
Java,Java,Asia
Dutch East Indies (Indonesia),Indonesia,Asia
Austrian Empire (Austria),Austria,Europe
Germany (Poland),Poland,Europe
W&uuml;rttemberg (Germany),Germany,Europe
Argentina,Argentina,South America
Austria-Hungary (Hungary),Hungary,Europe
Austria-Hungary (Austria),Austria,Europe
Austria-Hungary (Croatia),Croatia,Europe
Russian Empire (Finland),Finland,Europe
Austria-Hungary (Poland),Poland,Europe
Chile,Chile,South America
Austria-Hungary (Czech Republic),Czech Republic,Europe
Portugal,Portugal,Europe
Japan,Japan,Asia
South Africa,South Africa,Africa
Germany (France),France,Europe
Iceland,Iceland,Europe
China,China,Asia
French Algeria (Algeria),Algeria,Africa
Guadeloupe Island,Guadeloupe Island,North America
Brazil,Brazil,South America
Southern Rhodesia (Zimbabwe),Zimbabwe,Africa
Bosnia (Bosnia and Herzegovina),Bosnia and Herzegovina,Europe
Hungary,Hungary,Europe
Russian Empire (Azerbaijan),Azerbaijan,Europe
Ottoman Empire (Turkey),Turkey,Asia
Egypt,Egypt,Africa
Union of Soviet Socialist Republics (Russia),Russia,Asia
Austria-Hungary (Ukraine),Ukraine,Europe
Guatemala,Guatemala,North America
Russian Empire (Belarus),Belarus,Europe
Vietnam,Vietnam,Asia
Romania,Romania,Europe
Austria-Hungary (Bosnia and Herzegovina),Bosnia and Herzegovina,Europe
Russian Empire (Russia),Russia,Asia
Northern Ireland,Northern Ireland,Europe
Poland (Lithuania),Lithuania,Europe
British West Indies (Saint Lucia),Saint Lucia,North America
Crete (Greece),Greece,Europe
Ottoman Empire (Republic of Macedonia),Republic of Macedonia,Europe
India (Pakistan),Pakistan,Asia
Russian Empire (Lithuania),Lithuania,Europe
Venezuela,Venezuela,South America
Poland (Ukraine),Ukraine,Europe
Bulgaria,Bulgaria,Europe
Lithuania,Lithuania,Europe
Colombia,Colombia,South America
Mexico,Mexico,North America
Madagascar,Madagascar,Africa
German-occupied Poland (Poland),Poland,Europe
Taiwan,Taiwan,Asia
Nigeria,Nigeria,Africa
West Germany (Germany),Germany,Europe
Korea (South Korea),South Korea,Asia
Costa Rica,Costa Rica,North America
Tibet (Peoples Republic of China),China,Asia
Burma (Myanmar),Burma (Myanmar),Asia
Saint Lucia,Saint Lucia,North America
Poland (Belarus),Belarus,Europe
British Mandate of Palestine (Israel),Israel,Asia
East Timor,East Timor,Asia
Free City of Danzig (Poland),Poland,Europe
Union of Soviet Socialist Republics (Belarus),Belarus,Europe
Trinidad,Trinidad and Tobago,North America
Gold Coast (Ghana),Ghana,Africa
Iran,Iran,Asia
British Protectorate of Palestine (Israel),Israel,Asia
Kenya,Kenya,Africa
Turkey,Turkey,Asia
British India (Bangladesh),Bangladesh,Asia
Persia (Iran),Iran,Asia
Czechoslovakia (Czech Republic),Czech Republic,Europe
Finland,Finland,Europe
Cyprus,Cyprus,Europe
Peru,Peru,South America
Liberia,Liberia,Africa
Yemen,Yemen,Asia
Morocco,Morocco,Africa
Pakistan,Pakistan,Asia
Ukraine,Ukraine,Europe
USA,USA,North America
Belgian Congo (now Democratic Republic of the Congo),Democratic Republic of the Congo,Africa
Iraq,Iraq,Asia
Ethiopia,Ethiopia,Africa
Lebanon,Lebanon,Asia
Philippines,Philippines,Asia
USSR (now Russia),Russia,Asia
French protectorate of Tunisia (now Tunisia),Tunisia,Africa